,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
0,2019-03-22,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5,0,cz Czechia,,,66.0,82575.0,Harry Kane,4-3-3,Artur Dias,Match Report,,13.0,8.0,1,1,2.0,1,England
1,2019-03-25,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,5,1,me Montenegro,,,73.0,8329.0,Harry Kane,4-3-3,Aliaksei Kulbakou,Match Report,,12.0,6.0,0,0,1.0,0,England
2,2019-09-07,17:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,4,0,bg Bulgaria,,,68.0,82605.0,Harry Kane,4-3-1-2,Marco Guida,Match Report,,17.0,6.0,2,2,2.0,1,England
3,2019-09-10,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,5,3,xk Kosovo,,,58.0,30155.0,Harry Kane,4-2-3-1,Felix Zwayer,Match Report,,16.0,10.0,0,1,0.0,0,England
4,2019-10-11,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,2,cz Czechia,,,56.0,18651.0,Harry Kane,4-2-3-1,Damir Skomina,Match Report,,7.0,4.0,1,1,6.0,0,England
5,2019-10-14,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,6,0,bg Bulgaria,,,72.0,17481.0,Harry Kane,4-3-3,Ivan Bebek,Match Report,,20.0,13.0,0,0,2.0,1,England
6,2019-11-14,19:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,7,0,me Montenegro,,,66.0,77277.0,Harry Kane,4-3-3,Antonio Matéu Lahoz,Match Report,,17.0,11.0,0,0,2.0,1,England
7,2019-11-17,18:00,UEFA Euro Qualifying,Group stage,Sun,Away,W,4,0,xk Kosovo,,,55.0,12326.0,Harry Kane,4-3-3,Paweł Gil,Match Report,,13.0,7.0,0,0,3.0,1,England
8,2021-06-02,20:00,Friendlies (M),Friendlies (M),Wed,Home,W,1,0,at Austria,,,,,Harry Kane,4-1-4-1,Lawrence Visser,Match Report,,,,0,0,,1,England
9,2021-06-06,17:00,Friendlies (M),Friendlies (M),Sun,Home,W,1,0,ro Romania,,,,,Marcus Rashford,4-1-4-1,Tiago Martins,Match Report,,,,1,2,,1,England
10,2021-06-13,14:00,UEFA Euro,Group stage,Sun,Neutral,W,1,0,hr Croatia,1.5,0.4,49.0,18497.0,Harry Kane,4-3-3,Daniele Orsato,Match Report,,8.0,2.0,0,0,2.0,1,England
11,2021-06-18,20:00,UEFA Euro,Group stage,Fri,Neutral,D,0,0,sct Scotland,1.4,0.6,60.0,20306.0,Harry Kane,4-3-3,Antonio Matéu Lahoz,Match Report,,9.0,1.0,0,0,1.0,1,England
12,2021-06-22,20:00,UEFA Euro,Group stage,Tue,Neutral,W,1,0,cz Czechia,1.5,0.3,56.0,19104.0,Harry Kane,4-2-3-1,Artur Soares Dias,Match Report,,5.0,3.0,0,0,1.0,1,England
13,2021-06-29,17:00,UEFA Euro,Round of 16,Tue,Neutral,W,2,0,de Germany,1.3,1.4,46.0,41973.0,Harry Kane,3-4-3,Danny Makkelie,Match Report,,5.0,4.0,0,0,3.0,1,England
14,2021-07-03,21:00,UEFA Euro,Quarter-finals,Sat,Away,W,4,0,ua Ukraine,2.0,0.3,52.0,11880.0,Harry Kane,4-2-3-1,Felix Brych,Match Report,,10.0,6.0,0,0,2.0,1,England
15,2021-07-07,20:00,UEFA Euro,Semi-finals,Wed,Home,W,2,1,dk Denmark,2.7,0.2,58.0,64950.0,Harry Kane,4-2-3-1,Danny Makkelie,Match Report,Required Extra Time,19.0,9.0,0,1,2.0,0,England
16,2021-07-11,20:00,UEFA Euro,Final,Sun,Neutral,D,1 (2),1 (3),it Italy,0.6,2.2,35.0,67173.0,Harry Kane,3-4-3,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time,6.0,2.0,0,0,5.0,0,England
17,2019-03-22,19:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,0,0,pt Portugal,,,41.0,58355.0,Andriy Pyatov,4-1-4-1,Clément Turpin,Match Report,,6.0,1.0,0,0,6.0,1,Ukraine
18,2019-03-25,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,2,1,lu Luxembourg,,,62.0,4653.0,Andriy Pyatov,4-1-4-1,Mattias Gestranius,Match Report,,14.0,3.0,0,0,4.0,0,Ukraine
19,2019-06-07,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5,0,rs Serbia,,,58.0,35000.0,Andriy Pyatov,4-2-3-1,Antonio Matéu Lahoz,Match Report,,21.0,9.0,0,0,1.0,1,Ukraine
20,2019-06-10,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1,0,lu Luxembourg,,,57.0,34700.0,Andriy Pyatov,4-2-3-1,Peter Kráľovič,Match Report,,16.0,7.0,0,0,3.0,1,Ukraine
21,2019-09-07,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,3,0,lt Lithuania,,,69.0,5067.0,Andriy Pyatov,4-3-3,Irfan Peljto,Match Report,,18.0,8.0,0,0,1.0,1,Ukraine
22,2019-10-11,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2,0,lt Lithuania,,,68.0,32500.0,Andriy Pyatov,4-1-4-1,Harald Lechner,Match Report,,16.0,4.0,0,0,1.0,1,Ukraine
23,2019-10-14,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2,1,pt Portugal,,,41.0,65883.0,Andriy Pyatov,4-3-3,Anthony Taylor,Match Report,,5.0,4.0,0,0,9.0,0,Ukraine
24,2019-11-17,15:00,UEFA Euro Qualifying,Group stage,Sun,Away,D,2,2,rs Serbia,,,47.0,4457.0,Andriy Pyatov,4-1-4-1,Bobby Madden,Match Report,,13.0,5.0,0,0,4.0,0,Ukraine
25,2021-05-23,21:00,Friendlies (M),Friendlies (M),Sun,Home,D,1,1,bh Bahrain,,,,19000.0,Taras Stepanenko,4-1-4-1,Pavel Orel,Match Report,,,,0,0,,0,Ukraine
26,2021-06-03,21:00,Friendlies (M),Friendlies (M),Thu,Home,W,1,0,nir Northern Ireland,,,,,Andriy Yarmolenko,4-1-4-1,Szymon Marciniak,Match Report,,,,0,0,,1,Ukraine
27,2021-06-07,19:00,Friendlies (M),Friendlies (M),Mon,Home,W,4,0,cy Cyprus,,,,,Andriy Pyatov,4-1-4-1,Vitālijs Spasjoņņikovs,Match Report,,,,2,2,,1,Ukraine
28,2021-06-13,21:00,UEFA Euro,Group stage,Sun,Neutral,L,2,3,nl Netherlands,0.5,1.5,38.0,15837.0,Andriy Yarmolenko,4-3-3,Felix Brych,Match Report,,7.0,5.0,0,0,4.0,0,Ukraine
29,2021-06-17,16:00,UEFA Euro,Group stage,Thu,Neutral,W,2,1,mk N. Macedonia,3.4,1.3,52.0,10001.0,Andriy Yarmolenko,4-3-3,Fernando Rapallini,Match Report,,16.0,7.0,0,1,3.0,0,Ukraine
30,2021-06-21,19:00,UEFA Euro,Group stage,Mon,Neutral,L,0,1,at Austria,0.3,1.6,50.0,10472.0,Andriy Yarmolenko,4-3-3,Cüneyt Çakιr,Match Report,,5.0,1.0,0,0,3.0,0,Ukraine
31,2021-06-29,20:00,UEFA Euro,Round of 16,Tue,Neutral,W,2,1,se Sweden,1.8,1.2,54.0,9221.0,Andriy Yarmolenko,3-5-2,Daniele Orsato,Match Report,Required Extra Time,15.0,4.0,0,0,2.0,0,Ukraine
32,2021-07-03,21:00,UEFA Euro,Quarter-finals,Sat,Home,L,0,4,eng England,0.3,2.0,48.0,11880.0,Andriy Yarmolenko,3-5-2,Felix Brych,Match Report,,7.0,2.0,0,0,2.0,0,Ukraine
33,2021-09-08,20:45,Friendlies (M),Friendlies (M),Wed,Away,D,1,1,cz Czechia,,,,,Andriy Yarmolenko,3-4-3,Filip Glova,Match Report,,,,0,0,,0,Ukraine
34,2021-11-11,20:30,Friendlies (M),Friendlies (M),Thu,Home,D,1,1,bg Bulgaria,,,,,Andriy Yarmolenko,3-4-3,Arda Kardeşler,Match Report,,,,0,0,,0,Ukraine
35,2019-03-22,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,0,0,ua Ukraine,,,59.0,58355.0,Cristiano Ronaldo,4-1-4-1,Clément Turpin,Match Report,,18.0,7.0,0,0,1.0,1,Portugal
36,2019-03-25,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1,1,rs Serbia,,,70.0,50342.0,Cristiano Ronaldo,4-3-3,Szymon Marciniak,Match Report,,28.0,6.0,0,0,2.0,0,Portugal
37,2019-09-07,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,4,2,rs Serbia,,,56.0,39839.0,Cristiano Ronaldo,4-3-3,Cüneyt Çakιr,Match Report,,14.0,4.0,0,0,4.0,0,Portugal
38,2019-09-10,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,5,1,lt Lithuania,,,66.0,5067.0,Cristiano Ronaldo,4-3-3,Scott Parker,Match Report,,29.0,14.0,1,1,2.0,0,Portugal
39,2019-10-11,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,3,0,lu Luxembourg,,,61.0,47305.0,Cristiano Ronaldo,4-3-3,Daniel Stefański,Match Report,,22.0,10.0,0,0,2.0,1,Portugal
40,2019-10-14,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,1,2,ua Ukraine,,,59.0,65883.0,Cristiano Ronaldo,4-1-4-1,Anthony Taylor,Match Report,,24.0,10.0,1,1,2.0,0,Portugal
41,2019-11-14,19:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,6,0,lt Lithuania,,,71.0,18534.0,Cristiano Ronaldo,4-2-3-1,Ruddy Buquet,Match Report,,32.0,13.0,1,1,0.0,1,Portugal
42,2019-11-17,15:00,UEFA Euro Qualifying,Group stage,Sun,Away,W,2,0,lu Luxembourg,,,62.0,8000.0,Rúben Dias,4-1-4-1,Jesús Gil,Match Report,,12.0,4.0,0,0,1.0,1,Portugal
43,2021-06-04,19:30,Friendlies (M),Friendlies (M),Fri,Away,D,0,0,es Spain,,,,,Cristiano Ronaldo,4-1-4-1,Craig Pawson,Match Report,,,,0,0,,1,Portugal
44,2021-06-09,19:45,Friendlies (M),Friendlies (M),Wed,Home,W,4,0,il Israel,,,,,Cristiano Ronaldo,4-1-4-1,Jérémie Pignard,Match Report,,,,0,0,,1,Portugal
45,2021-06-15,18:00,UEFA Euro,Group stage,Tue,Neutral,W,3,0,hu Hungary,2.5,0.2,69.0,55662.0,Cristiano Ronaldo,4-2-3-1,Cüneyt Çakιr,Match Report,,10.0,6.0,1,1,3.0,1,Portugal
46,2021-06-19,18:00,UEFA Euro,Group stage,Sat,Neutral,L,2,4,de Germany,2.0,2.6,43.0,12926.0,Cristiano Ronaldo,4-1-4-1,Anthony Taylor,Match Report,,7.0,2.0,0,0,5.0,0,Portugal
47,2021-06-23,21:00,UEFA Euro,Group stage,Wed,Neutral,D,2,2,fr France,1.9,1.9,48.0,54886.0,Cristiano Ronaldo,4-1-4-1,Antonio Matéu Lahoz,Match Report,,8.0,3.0,2,2,3.0,0,Portugal
48,2021-06-27,21:00,UEFA Euro,Round of 16,Sun,Neutral,L,0,1,be Belgium,1.4,0.2,57.0,11504.0,Cristiano Ronaldo,4-3-3,Felix Brych,Match Report,,23.0,4.0,0,0,0.0,0,Portugal
49,2021-09-04,18:45,Friendlies (M),Friendlies (M),Sat,Away,W,3,1,qa Qatar,,,,,João Moutinho,4-1-4-1,Gergő Bogár,Match Report,,,,1,1,,0,Portugal
50,2021-10-09,20:15,Friendlies (M),Friendlies (M),Sat,Home,W,3,0,qa Qatar,,,,,Cristiano Ronaldo,4-1-4-1,Fedayi San,Match Report,,,,0,0,,1,Portugal
51,2019-03-25,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1,1,pt Portugal,,,30.0,50342.0,Dušan Tadić,4-2-3-1,Szymon Marciniak,Match Report,,10.0,3.0,1,1,4.0,0,Serbia
52,2019-06-07,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0,5,ua Ukraine,,,42.0,35000.0,Aleksandar Kolarov,3-5-2,Antonio Matéu Lahoz,Match Report,,6.0,1.0,0,0,4.0,0,Serbia
53,2019-06-10,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,4,1,lt Lithuania,,,65.0,52.0,Aleksandar Kolarov,4-2-3-1,Adrien Jaccottet,Match Report,,23.0,11.0,0,0,0.0,0,Serbia
54,2019-09-07,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,L,2,4,pt Portugal,,,44.0,39839.0,Aleksandar Kolarov,4-2-3-1,Cüneyt Çakιr,Match Report,,10.0,6.0,0,0,0.0,0,Serbia
55,2019-09-10,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3,1,lu Luxembourg,,,61.0,6373.0,Aleksandar Kolarov,4-2-3-1,Orel Grinfeeld,Match Report,,14.0,4.0,0,0,6.0,0,Serbia
56,2019-10-14,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,2,1,lt Lithuania,,,59.0,2787.0,Aleksandar Kolarov,4-2-3-1,Paweł Raczkowski,Match Report,,17.0,8.0,0,0,2.0,0,Serbia
57,2019-11-14,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,2,lu Luxembourg,,,68.0,1560.0,Aleksandar Kolarov,4-2-3-1,Serdar Gözübüyük,Match Report,,16.0,12.0,0,0,2.0,0,Serbia
58,2019-11-17,15:00,UEFA Euro Qualifying,Group stage,Sun,Home,D,2,2,ua Ukraine,,,53.0,4457.0,Aleksandar Kolarov,4-2-3-1,Bobby Madden,Match Report,,13.0,6.0,1,1,3.0,0,Serbia
59,2020-10-08,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Away,W,2,1,no Norway,,,49.0,200.0,Aleksandar Kolarov,3-5-2,Daniele Orsato,Match Report,Required Extra Time,18.0,9.0,0,0,2.0,0,Serbia
60,2020-11-12,20:45,UEFA Euro Qualifying,Finals,Thu,Home,D,1 (4),1 (5),sct Scotland,,,58.0,,Dušan Tadić,3-4-3,Antonio Matéu Lahoz,Match Report,Scotland won on penalty kicks following extra time,16.0,4.0,0,0,3.0,0,Serbia
61,2021-01-25,17:00,Friendlies (M),Friendlies (M),Mon,Away,D,0,0,do Dominican Rep.,,,,,Slobodan Urošević,4-1-4-1,William Anderson,Match Report,,,,0,0,,1,Serbia
62,2021-01-28,19:05,Friendlies (M),Friendlies (M),Thu,Away,D,0,0,pa Panama,,,,,Slobodan Urošević,4-1-4-1,Ameth Sánchez,Match Report,,,,0,0,,2,Serbia
63,2021-06-07,16:00,Friendlies (M),Friendlies (M),Mon,Neutral,D,1,1,jm Jamaica,,,,,Stefan Mitrović,3-4-3,Yudai Yamamoto,Match Report,,,,0,0,,0,Serbia
64,2021-06-11,19:25,Friendlies (M),Friendlies (M),Fri,Away,L,0,1,jp Japan,,,,,Stefan Mitrović,3-4-3,Payam Heydari,Match Report,,,,0,0,,0,Serbia
65,2021-09-01,21:45,Friendlies (M),Friendlies (M),Wed,Away,W,4,0,qa Qatar,,,,,Matija Nastasić,3-4-1-2,Filip Glova,Match Report,,,,0,0,,2,Serbia
66,2021-11-11,18:00,Friendlies (M),Friendlies (M),Thu,Home,W,4,0,qa Qatar,,,,,Stefan Mitrović,3-4-3,Irfan Peljto,Match Report,,,,0,0,,1,Serbia
67,2019-03-24,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,3,2,nl Netherlands,,,46.0,51694.0,Manuel Neuer,3-5-2,Jesús Gil,Match Report,,11.0,7.0,0,0,4.0,0,Germany
68,2019-06-08,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,0,by Belarus,,,75.0,12510.0,Manuel Neuer,4-4-1-1,Srđan Jovanović,Match Report,,23.0,5.0,0,0,1.0,1,Germany
69,2019-06-11,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,8,0,ee Estonia,,,82.0,26050.0,Manuel Neuer,4-1-4-1,Ali Palabıyık,Match Report,,27.0,17.0,1,1,2.0,1,Germany
70,2019-09-06,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,2,4,nl Netherlands,,,49.0,51299.0,Manuel Neuer,4-1-4-1,Artur Dias,Match Report,,12.0,5.0,1,1,6.0,0,Germany
71,2019-09-09,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,2,0,nir Northern Ireland,,,75.0,18326.0,Manuel Neuer,4-3-3,Daniele Orsato,Match Report,,20.0,7.0,0,0,1.0,1,Germany
72,2019-10-13,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,3,0,ee Estonia,,,70.0,12062.0,Manuel Neuer,4-2-3-1,Georgi Kabakov,Match Report,,13.0,6.0,0,0,2.0,1,Germany
73,2019-11-16,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,4,0,by Belarus,,,71.0,33164.0,Manuel Neuer,4-3-3,Orel Grinfeeld,Match Report,,31.0,10.0,0,0,4.0,1,Germany
74,2019-11-19,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,6,1,nir Northern Ireland,,,72.0,42855.0,Toni Kroos,4-2-3-1,Carlos del Cerro,Match Report,,22.0,11.0,0,0,0.0,0,Germany
75,2021-06-02,21:00,Friendlies (M),Friendlies (M),Wed,Home,D,1,1,dk Denmark,,,,,Manuel Neuer,3-4-3,Julian Weinberger,Match Report,,,,0,0,,0,Germany
76,2021-06-07,20:45,Friendlies (M),Friendlies (M),Mon,Home,W,7,1,lv Latvia,,,,,Manuel Neuer,3-4-3,Nikola Dabanović,Match Report,,,,0,0,,0,Germany
77,2021-06-15,21:00,UEFA Euro,Group stage,Tue,Neutral,L,0,1,fr France,0.9,0.3,61.0,13000.0,Manuel Neuer,3-4-3,Carlos del Cerro,Match Report,,10.0,1.0,0,0,1.0,0,Germany
78,2021-06-19,18:00,UEFA Euro,Group stage,Sat,Neutral,W,4,2,pt Portugal,2.6,2.0,57.0,12926.0,Manuel Neuer,3-4-3,Anthony Taylor,Match Report,,12.0,7.0,0,0,0.0,0,Germany
79,2021-06-23,21:00,UEFA Euro,Group stage,Wed,Neutral,D,2,2,hu Hungary,2.2,0.8,75.0,12413.0,Manuel Neuer,3-4-3,Sergey Karasev,Match Report,,18.0,6.0,0,0,2.0,0,Germany
80,2021-06-29,17:00,UEFA Euro,Round of 16,Tue,Neutral,L,0,2,eng England,1.4,1.3,54.0,41973.0,Manuel Neuer,3-4-3,Danny Makkelie,Match Report,,9.0,3.0,0,0,2.0,0,Germany
81,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4,0,by Belarus,,,62.0,38604.0,Virgil van Dijk,4-3-3,Davide Massa,Match Report,,10.0,6.0,1,1,1.0,1,Netherlands
82,2019-03-24,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,2,3,de Germany,,,54.0,51694.0,Virgil van Dijk,4-3-3,Jesús Gil,Match Report,,16.0,6.0,0,0,4.0,0,Netherlands
83,2019-09-06,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,4,2,de Germany,,,51.0,51299.0,Virgil van Dijk,4-3-3,Artur Dias,Match Report,,16.0,9.0,0,0,3.0,0,Netherlands
84,2019-09-09,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,4,0,ee Estonia,,,72.0,11006.0,Virgil van Dijk,4-3-3,Serhiy Boiko,Match Report,,20.0,10.0,0,0,1.0,1,Netherlands
85,2019-10-10,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,1,nir Northern Ireland,,,77.0,41348.0,Virgil van Dijk,4-3-3,Benoît Bastien,Match Report,,23.0,7.0,0,0,0.0,0,Netherlands
86,2019-10-13,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,W,2,1,by Belarus,,,76.0,21639.0,Virgil van Dijk,4-3-3,Anastasios Sidiropoulos,Match Report,,21.0,7.0,0,0,0.0,0,Netherlands
87,2019-11-16,19:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,0,0,nir Northern Ireland,,,69.0,18404.0,Virgil van Dijk,4-2-3-1,Szymon Marciniak,Match Report,,14.0,3.0,0,0,0.0,1,Netherlands
88,2019-11-19,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,5,0,ee Estonia,,,66.0,50386.0,Georginio Wijnaldum,4-2-3-1,Davide Massa,Match Report,,22.0,14.0,0,0,2.0,1,Netherlands
89,2021-06-02,20:45,Friendlies (M),Friendlies (M),Wed,Home,D,2,2,sct Scotland,,,,,Georginio Wijnaldum,5-3-2,Vitor Ferreira Fernandes,Match Report,,,,0,0,,0,Netherlands
90,2021-06-06,18:00,Friendlies (M),Friendlies (M),Sun,Home,W,3,0,ge Georgia,,,,,Georginio Wijnaldum,5-3-2,Erik Lambrechts,Match Report,,,,1,1,,1,Netherlands
91,2021-06-13,21:00,UEFA Euro,Group stage,Sun,Neutral,W,3,2,ua Ukraine,1.5,0.5,62.0,15837.0,Georginio Wijnaldum,3-4-1-2,Felix Brych,Match Report,,15.0,7.0,0,0,3.0,0,Netherlands
92,2021-06-17,21:00,UEFA Euro,Group stage,Thu,Neutral,W,2,0,at Austria,3.1,0.7,47.0,15243.0,Georginio Wijnaldum,3-4-1-2,Orel Grinfeeld,Match Report,,13.0,2.0,1,1,1.0,1,Netherlands
93,2021-06-21,18:00,UEFA Euro,Group stage,Mon,Neutral,W,3,0,mk N. Macedonia,3.1,1.1,58.0,15227.0,Georginio Wijnaldum,3-4-1-2,István Kovács,Match Report,,17.0,6.0,0,0,1.0,1,Netherlands
94,2021-06-27,18:00,UEFA Euro,Round of 16,Sun,Neutral,L,0,2,cz Czechia,0.9,1.6,52.0,52834.0,Georginio Wijnaldum,3-4-1-2,Sergey Karasev,Match Report,,6.0,0.0,0,0,3.0,0,Netherlands
95,2019-03-23,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,0,ge Georgia,,,64.0,49207.0,Stephan Lichtsteiner,4-4-1-1,Craig Pawson,Match Report,,25.0,8.0,0,0,1.0,1,Switzerland
96,2019-03-26,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,D,3,3,dk Denmark,,,55.0,18352.0,Granit Xhaka,4-3-3,Damir Skomina,Match Report,,11.0,3.0,0,0,4.0,0,Switzerland
97,2019-09-05,19:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,1,1,ie Rep. of Ireland,,,59.0,44111.0,Granit Xhaka,3-4-3,Carlos del Cerro,Match Report,,14.0,3.0,0,0,1.0,0,Switzerland
98,2019-09-08,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,gi Gibraltar,,,77.0,8318.0,Granit Xhaka,3-4-3,Pavel Orel,Match Report,,40.0,11.0,0,0,0.0,1,Switzerland
99,2019-10-12,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,1,dk Denmark,,,53.0,35964.0,Stephan Lichtsteiner,3-4-3,Aliaksei Kulbakou,Match Report,,11.0,4.0,0,0,2.0,0,Switzerland
100,2019-10-15,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2,0,ie Rep. of Ireland,,,56.0,24766.0,Stephan Lichtsteiner,3-4-3,Szymon Marciniak,Match Report,,20.0,4.0,0,1,2.0,1,Switzerland
101,2019-11-15,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,1,0,ge Georgia,,,68.0,16400.0,Stephan Lichtsteiner,5-4-1,Danny Makkelie,Match Report,,23.0,11.0,0,0,5.0,1,Switzerland
102,2019-11-18,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,6,1,gi Gibraltar,,,75.0,2079.0,Granit Xhaka,3-4-3,Benoît Millot,Match Report,,37.0,14.0,0,0,1.0,0,Switzerland
103,2021-03-31,20:45,Friendlies (M),Friendlies (M),Wed,Home,W,3,2,fi Finland,,,,,Xherdan Shaqiri,3-4-3,Manuel Schüttengruber,Match Report,,,,0,0,,0,Switzerland
104,2021-05-30,20:15,Friendlies (M),Friendlies (M),Sun,Home,W,2,1,us United States,,,,,Granit Xhaka,3-4-3,Harm Osmers,Match Report,,,,0,1,,0,Switzerland
105,2021-06-03,18:00,Friendlies (M),Friendlies (M),Thu,Home,W,7,0,li Liechtenstein,,,,,Xherdan Shaqiri,3-4-3,Nejc Kajtazovič,Match Report,,,,0,0,,1,Switzerland
106,2021-06-12,17:00,UEFA Euro,Group stage,Sat,Neutral,D,1,1,wls Wales,2.1,0.4,64.0,8782.0,Granit Xhaka,3-4-1-2,Clément Turpin,Match Report,,18.0,4.0,0,0,1.0,0,Switzerland
107,2021-06-16,21:00,UEFA Euro,Group stage,Wed,Neutral,L,0,3,it Italy,0.2,2.7,51.0,12445.0,Granit Xhaka,3-4-1-2,Sergey Karasev,Match Report,,6.0,1.0,0,0,0.0,0,Switzerland
108,2021-06-20,20:00,UEFA Euro,Group stage,Sun,Neutral,W,3,1,tr Türkiye,2.1,1.2,51.0,17138.0,Granit Xhaka,3-4-1-2,Slavko Vinčič,Match Report,,23.0,10.0,0,0,5.0,0,Switzerland
109,2021-06-28,22:00,UEFA Euro,Round of 16,Mon,Neutral,D,3 (5),3 (4),fr France,1.9,3.4,46.0,22642.0,Granit Xhaka,3-4-1-2,Fernando Rapallini,Match Report,Switzerland won on penalty kicks following extra time,11.0,4.0,0,1,5.0,0,Switzerland
110,2021-07-02,19:00,UEFA Euro,Quarter-finals,Fri,Home,D,1 (1),1 (3),es Spain,0.8,2.9,28.0,24764.0,Xherdan Shaqiri,4-2-3-1,Michael Oliver,Match Report,Spain won on penalty kicks following extra time,8.0,2.0,0,0,10.0,0,Switzerland
111,2021-09-01,20:45,Friendlies (M),Friendlies (M),Wed,Home,W,2,1,gr Greece,,,,,Ricardo Rodríguez,3-4-3,Antti Munukka,Match Report,,,,0,0,,0,Switzerland
112,2019-03-26,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,3,3,ch Switzerland,,,45.0,18352.0,Simon Kjær,4-2-3-1,Damir Skomina,Match Report,,14.0,7.0,0,0,0.0,0,Denmark
113,2019-06-07,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1,1,ie Rep. of Ireland,,,62.0,34610.0,Simon Kjær,4-1-3-2,Cüneyt Çakιr,Match Report,,18.0,3.0,0,0,3.0,0,Denmark
114,2019-06-10,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,5,1,ge Georgia,,,69.0,15387.0,Simon Kjær,4-3-1-2,Robert Schörgenhofer,Match Report,,31.0,9.0,1,1,1.0,0,Denmark
115,2019-09-05,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,6,0,gi Gibraltar,,,78.0,2076.0,Simon Kjær,4-1-4-1,Jonathan Lardot,Match Report,,21.0,10.0,2,2,2.0,1,Denmark
116,2019-09-08,20:00,UEFA Euro Qualifying,Group stage,Sun,Away,D,0,0,ge Georgia,,,61.0,21456.0,Simon Kjær,4-4-2◆,François Letexier,Match Report,,12.0,6.0,0,0,1.0,1,Denmark
117,2019-10-12,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,1,0,ch Switzerland,,,47.0,35964.0,Simon Kjær,4-2-3-1,Aliaksei Kulbakou,Match Report,,12.0,3.0,0,0,4.0,1,Denmark
118,2019-11-15,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,6,0,gi Gibraltar,,,80.0,24033.0,Simon Kjær,4-2-3-1,István Vad II,Match Report,,28.0,9.0,0,0,0.0,1,Denmark
119,2019-11-18,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1,1,ie Rep. of Ireland,,,48.0,50000.0,Simon Kjær,4-2-2-2,Felix Brych,Match Report,,3.0,2.0,0,0,2.0,0,Denmark
